intent,text,cleaned text
1,"I forgot my password, what should I do?",forgot password
1,How can I change my login information?,change login information
1,Can you help me reset my account password?,help reset account password
1,I want to update my personal profile.,want update personal profile .
1,Please assist me in changing my email address.,please assist changing email address .
1,How do I update my profile picture?,update profile picture
1,Can I change my username?,change username
1,Is there a way to delete my account?,way delete account
1,How can I secure my account?,secure account
1,What steps should I take to recover my password?,step take recover password
1,Can I reset my security questions?,reset security question
1,How can I update my phone number?,update phone number
1,How do I activate two-factor authentication?,activate twofactor authentication
1,What should I do if my account is locked?,account locked
1,How do I add a recovery email?,add recovery email
1,How can I deactivate my account temporarily?,deactivate account temporarily
1,Can I unlink my social media accounts?,unlink social medium account
1,How do I enable login alerts?,enable login alert
1,How do I set up a recovery phone number?,set recovery phone number
1,Can I change my account’s primary email?,change account primary email
1,How do I delete saved login information?,delete saved login information
1,Can I disable two-factor authentication?,disable twofactor authentication
1,What should I do if I suspect unauthorized access?,suspect unauthorized access
1,How do I find my account security settings?,find account security setting
1,Is there a way to restrict login locations?,way restrict login location
1,How do I view recent login activity?,view recent login activity
1,Can I make my profile private?,make profile private
1,How can I lock my account temporarily?,lock account temporarily
1,How do I link another email to my account?,link another email account
1,How do I check my account verification status?,check account verification status
1,What is the process to recover a deleted account?,process recover deleted account
1,How can I check if my password is strong enough?,check password strong enough
1,How do I remove an old phone number?,remove old phone number
1,How do I enable notifications for login attempts?,enable notification login attempt
1,Can I set a profile security question?,set profile security question
1,How do I verify my identity for account recovery?,verify identity account recovery
1,What are the steps to add backup login options?,step add backup login option
1,Can I see my login history for the past month?,see login history past month
1,How do I change my security settings?,change security setting
1,Can I add an alternative email for recovery?,add alternative email recovery
1,How can I confirm my email address?,confirm email address
1,What should I do if my account is compromised?,account compromised
1,How do I secure my account when traveling?,secure account traveling
1,Can I restrict login times for my account?,restrict login time account
1,How can I reset my password without an email?,reset password without email
1,How do I recover my password using my phone?,recover password using phone
1,How do I verify my account for extra security?,verify account extra security
1,Can I turn off login alerts temporarily?,turn login alert temporarily
1,How do I remove linked accounts?,remove linked account
1,Is there a way to monitor my account activity?,way monitor account activity
1,How can I reset my security questions?,reset security question
1,How do I report a compromised account?,report compromised account
1,How do I set up a security PIN?,set security pin
1,How can I receive alerts for unusual activity?,receive alert unusual activity
1,Where can I see my active sessions?,see active session
1,How can I disable account recovery options?,disable account recovery option
1,Can I deactivate my profile temporarily?,deactivate profile temporarily
1,How do I reset my two-factor authentication?,reset twofactor authentication
1,Can I receive an alert if someone logs into my account?,receive alert someone log account
1,How can I check recent security updates?,check recent security update
1,What should I do if I notice unusual activity?,notice unusual activity
1,How can I deactivate my account temporarily?,deactivate account temporarily
1,Can I set up login alerts for added security?,set login alert added security
1,How do I restrict access to my profile page?,restrict access profile page
1,What are the steps to add a backup login method?,step add backup login method
1,How do I change the security question?,change security question
1,Is there a way to hide my account from public search?,way hide account public search
1,How can I enable additional authentication?,enable additional authentication
1,How do I find out if someone accessed my account?,find someone accessed account
1,Can I request a security audit for my account?,request security audit account
1,How can I verify my phone number?,verify phone number
1,How do I block suspicious login attempts?,block suspicious login attempt
1,Can I change the primary email address for my account?,change primary email address account
1,How do I make my profile information private?,make profile information private
