intent,answer
3,"Psych began its seventh season on February 27, 2013."
3,"The agent stimulates the body's immune system to recognize the agent as foreign, destroy it, and ""remember"" it, so that the immune system can more easily recognize and destroy any of these microorganisms that it later encounters."
3,"Chris Cornell (born Christopher John Boyle; July 20, 1964) is an American rock musician best known as the lead vocalist and rhythm guitarist for Soundgarden and as the former lead vocalist for Audioslave ."
3,"Preciosa is the luxury brand name for the range of precision-cut lead crystal glass and related products produced by Preciosa a.s. of Jablonec nad Nisou , Czech Republic ."
3,"The Chupacabra or Chupacabras (, from chupar ""to suck"" and cabra ""goat"", literally ""goat sucker"") is a legendary cryptid rumored to inhabit parts of the Americas ."
3,"The North American Free Trade Agreement (NAFTA) is an agreement signed by Canada , Mexico , and the United States , creating a trilateral trade bloc in North America ."
3,"Formed in 2005, they have gained popularity from the Disney Channel children's television network and consists of three brothers from Wyckoff, New Jersey ; Paul Kevin Jonas II , Joseph Adam Jonas and Nicholas Jerry Jonas ."
3,"Wildlife such as ibex live in the higher peaks to elevations of , and plants such as Edelweiss grow in rocky areas in lower elevations as well as in higher elevations."
3,At present the region is home to 14 million people and has 120 million annual visitors.
3,She is married to Democratic political consultant James Carville .
3,"Basque ( endonym : , ) is the ancestral language of the Basque people , who inhabit the Basque Country , a region spanning an area in northeastern Spain and southwestern France ."
3,Brisket is a cut of meat from the breast or lower chest of beef or veal .
3,"In molecular biology , human chorionic gonadotropin (hCG) is a hormone produced by the fertilized egg after conception ."
3,"The movie was filmed in 2009 in Charleston, South Carolina ."
3,Hartsfield__ackson Atlanta International Airport is the busiest single airport in the United States.
3,"is a city in the Kansai region of Japan's main island of Honshu , a designated city under the Local Autonomy Law , the capital city of Osaka Prefecture and also the largest part of the Keihanshin metropolis, which comprises three major cities of Japan, Kyoto , Osaka and Kobe ."
3,"Located at the mouth of the Yodo River on Osaka Bay , Osaka is Japan's third largest city by population after Tokyo (special wards) and Yokohama ."
3,"A given name, in Western contexts often referred to as a first name, is a personal name that specifies and differentiates between members of a group of individuals, especially in a family, all of whose members usually share the same family name (surname)."
3,"The series follows local politician Mel Burke (Melissa Joan Hart) and Joe Longo (Joey Lawrence), whom Mel hires to look after her niece and nephew after a Ponzi scheme leaves him broke."
3,"Other broad distinctions include those between positive economics (describing ""what is"") and normative economics (advocating ""what ought to be""); between economic theory and applied economics ; between rational and behavioral economics ; and between mainstream economics (more ""orthodox"" and dealing with the ""rationality-individualism-equilibrium nexus"") and heterodox economics (more ""radical"" and dealing with the ""institutions-history-social structure nexus"")."
3,"Economic analysis may be applied throughout society, as in business , finance , health care , and government, but also to such diverse subjects as crime, education , the family , law , politics , religion , social institutions , war, and science ."
3,"At the turn of the 21st century, the expanding domain of economics in the social sciences has been described as economic imperialism ."
3,"U.S. median household income fell from $51,144 in 2010 to $50,502 in 2011."
3,"The company was founded on April 1, 1976, and incorporated as Apple Computer, Inc. on January 3, 1977."
3,"Section 8 of the Housing Act of 1937 (), often simply known as Section 8, as repeatedly amended, authorizes the payment of rental housing assistance to private landlords on behalf of approximately 3.1 million low-income households."
3,"It operates through several programs, the largest of which, the Housing Choice Voucher program, pays a large portion of the rents and utilities of about 2.1 million households."
3,"In finance , a bond is an instrument of indebtedness of the bond issuer to the holders."
3,"Bonds and stocks are both securities , but the major difference between the two is that (capital) stockholders have an equity stake in the company (i.e. they are owners), whereas bondholders have a creditor stake in the company (i.e. they are lenders)."
3,"I'm doing great, thank you!"
3,I like blue; it's calming.
