intent,answer,number
0,Hello! I'm great! How about you?,0
0,Hi! Nice to meet you too! ,1
0,Good morning! I'm here to assist.,2
0,"I'm doing well, thank you!",3
0,"I'm fine, thank you! How are you?",4
0,Hi! Let me know what you need.,5
0,Just here to help! What can I do for you?,6
0,Hi! I'm here to assist with anything you need.,7
0,Happy to help! What do you need assistance with?,8
0,Thanks! Wishing you a great day too!,9
0,Hi! It's been great! Thanks for asking.,10
0,Hi! It's been great!,11
0,Everything's good! How can I help?,12
0,Everything's good! How can I help?,13
0,It's been a while! Glad to connect again.,14
0,Hey! It's been a while! How have you been?,15
0,Absolutely! Just let me know what you need.,16
0,Good afternoon! How can I make your day better?,17
0,"Hello! Not much, just here to help you out.",18
0,Great to chat with you! What can I do?,19
0,"I've been doing well, thank you!",20
0,"It's been a busy day, but I'm ready to chat!",21
0,Hi! Not much.Just enjoying our conversation!,22
0,Good evening! I'm here to help.,23
0,"Hi! Interesting day, to be honest! How about you?",24
0,"Interesting day, to be honest! How about you?",25
0,Thank you for asking! Ready to talk.,26
0,"It's going great, thank you!",27
0,"It's going great, thank you!",28
0,I hope you're doing great as well!,29
0,"Hey! It's been a good week, thank you!",30
0,"Things are great, appreciate you asking!",31
0,Something exciting? Let's find out together!,32
0,I'm ready to help you in any way you need.,33
0,"Just catching up on things, how can I help?",34
0,"Hey! My day is going well, thank you!",35
0,"My day is going well, thank you!",36
0,I'm here to make your day better!,37
0,"Hi! Life's good, thank you for asking.",38
0,Weekend is off to a great start!,39
0,Good morning! Always happy to chat.,40
0,"My plan? Helping you, of course!",41
0,Hi! Always excited to talk. How about you?,42
0,"Hi! Sure, I've got time!",43
0,Hope I can make your day brighter!,44
0,It's great to hear from you again!,45
0,Just here for you!,46
0,I'm glad you're here!,47
0,"Hei! It's been a pleasant day, thank you!",48
0,Hello! I'm doing fine.,49
0,"Hi! I'm doing fine, thanks for asking.",50
0,Hello! Always happy to chat.,51
0,Hi! How can I help you today?,52
0,"Hi! Everything is good here, thank you!",53
0,"Hi! Everything is good here, thank you!",54
0,Hi! Happy to be here.,55
0,Hi! I'm feeling good today!,56
0,"Hi! Everything is good here, thank you!",57
0,"Good evening! All good, thanks for asking!",58
0,Hi! I'm here for you.,59
0,"Hi! Not bad, how's everything with you?",60
0,Hello! I'm feeling fine!,61
0,"Thank you, I'm fine.",62
0,"All's well, what's on your mind?",63
0,Hi! Good to hear from you!,64
0,Happy to chat!,65
0,"Great, as always.",66
0,"Hey! I'm doing fine, hope you are too.",67
0,Hi! Nice to meet you too! ,68
0,Hi! Nice to meet you too! ,69
0,Hi! Nice to meet you too! ,70
0,Hi! Nice to meet you too! ,71
0,Hi! Nice to meet you too! ,72
0,Hi! Nice to meet you too! ,73
0,Hi! Nice to meet you too! ,74
0,Hi! Nice to meet you too! ,75
0,Hi! Nice to meet you too! ,76
0,Hi! Nice to meet you too! ,77
0,"I'm fine, thank you! How are you?",
0,"I'm fine, thank you! How are you?",
0,"I'm fine, thank you! How are you?",
0,"I'm fine, thank you! How are you?",
0,"I'm fine, thank you! How are you?",
1,"To reset your password, go to the settings page and click on Change Password.",78
1,"Yes, you can change your account email under account settings.",79
1,Please visit the recovery section to retrieve your username.,80
1,You can update security questions in your security settings.,81
1,"To enable two-factor authentication, visit the security options page.",82
1,"Yes, you can link your account by navigating to the social media settings.",83
1,Profile information can be updated in your account details section.,84
1,"If your account is locked, please follow the recovery steps or contact support.",85
1,"To delete your account permanently, please confirm in the account settings.",86
1,"Yes, changing your username is possible through the user settings menu.",87
1,"To change your password, visit the security settings and select Change Password.",88
1,"If you forget your security question answers, please contact support for assistance.",89
1,"Yes, you can update your phone number in the account settings under personal information.",90
1,Go to security settings and enable login alerts for added protection.,91
1,"If your account was deleted, contact support for recovery options.",92
1,"To disable two-factor authentication, navigate to the security settings and turn it off.",93
1,Verify your email by clicking the verification link sent to your registered address.,94
1,You can view your recent login activity under the security activity section.,95
1,Ensure your account's security by enabling two-factor authentication and monitoring activity.,96
1,Add a backup email under your recovery settings to help regain access if needed.,97
1,Account recovery options can be managed in the recovery settings tab.,98
1,"To restrict access to your profile, go to privacy settings and adjust accordingly.",99
1,You can deactivate your account temporarily through the account settings menu.,100
1,Change your security settings by accessing the security and privacy tab.,101
1,"To unlink third-party services, go to linked accounts under your account settings.",102
1,Add an alternative phone number for verification in your profile settings.,103
1,Remove saved login details in the security section of your settings.,104
1,Check for possible breaches by reviewing your login history and settings.,105
1,"To change your profile picture, upload a new one through profile settings.",106
1,Manually lock your account through the security lockout options.,107
1,Deactivate account recovery options from the recovery settings menu.,108
1,Adjust privacy settings under your account's privacy preferences.,109
1,Set up a new security PIN in the security section of your settings.,110
1,"If you suspect hacking, change your password immediately and review your activity.",111
1,Manage connected devices by accessing your device management settings.,112
1,Enable alerts for unknown login attempts through the security notifications section.,113
1,Linked accounts can be managed through the settings tab.,114
1,Add a recovery question to your account security settings for added protection.,115
1,Access history is available in the security activity log.,116
1,Prevent unauthorized logins by enabling two-factor authentication and strong passwords.,117
1,Automatic lockout can be enabled through security preferences.,118
1,Restrict login hours in your account access settings.,119
1,Verify your phone number by entering the code sent to your phone.,120
1,Devices logged into your account can be viewed under security activity.,121
1,Login notifications can be enabled or disabled in the security preferences tab.,122
1,Restrict access to specific devices by setting up device filters.,123
1,Set up a security phrase for verification in the security options.,124
1,Geographic restrictions can be applied through access controls.,125
1,Delete backup recovery methods from the recovery settings menu.,126
1,Review login attempts in the account security activity log.,127
1,Verify your account through a phone call by contacting support.,128
1,Change your recovery email in the security settings under recovery options.,129
1,Restrict logins by IP address in the security preferences section.,130
1,Multiple incorrect passwords will lock your account temporarily for security.,131
1,Make your profile private by changing your privacy settings.,132
1,"Create a strong password by using a mix of letters, numbers, and symbols.",133
1,Enable biometric login in your security options for quick access.,134
1,Link another email by adding it to your contact settings.,135
1,Receive notifications for changes in your account under notification preferences.,136
1,Review past login sessions in your security activity log.,137
1,Delete profile information from your profile settings page.,138
1,You can change your email in the account settings.,139
1,Update your phone number by going to the profile settings.,140
1,"Yes, you can reset your password in the security section.",141
1,Deleting your account can be done through account settings.,142
1,"To recover your username, visit the account recovery page.",143
1,Link your social media accounts in the settings menu.,144
1,You can update your security settings from the security tab.,145
1,Check your login history in the security activity section.,146
1,Change your username in the profile settings tab.,147
1,Account recovery is available through the recovery options.,148
1,Account settings can be found in the main menu.,149
1,Enable two-factor authentication from the security settings.,150
1,Remove a linked device in the device management section.,151
1,Change your profile picture through the profile settings.,152
1,Add a recovery email in the recovery options.,153
1,Make your profile private in the privacy settings.,154
1,"If your account is locked, follow the recovery instructions.",155
1,Enable alerts for account changes in the notifications tab.,156
1,Verify your phone number in the contact settings.,157
1,Update security questions in your security settings.,158
2,I recommend checking out the downtown area; it has many attractions.,159
2,There are several good restaurants nearby; try the one at Main Street.,160
2,The must-see places include the city museum and the historic park.,161
2,There is a park about 10 minutes away; perfect for a walk.,162
2,The shopping district has many great stores and boutiques.,163
2,I know a great coffee shop a few blocks from here.,164
2,There is a cultural festival happening this weekend at the square.,165
2,The city museum is known for its great exhibits.,166
2,There's a bookstore two streets over with rare collections.,167
2,"For hiking, there's a trail just outside the city with scenic views.",168
2,A big concert is happening downtown tonight.,169
2,The farmer's market has the best fresh produce in town.,170
2,There's a quiet garden by the library for relaxation.,171
2,Sightseeing spots include the observation deck at the tower.,172
2,There is an art gallery nearby with rotating exhibits.,173
2,The local gym is very popular and close by.,174
2,There's live music every Friday at the community center.,175
2,The beach offers a stunning sunset view every evening.,176
2,There is a theater on Main Street known for great performances.,177
2,The forest trail nearby is great for a nature walk.,178
2,"For a weekend trip, consider the nearby lake town.",179
2,There's a pet-friendly park just down the street.,180
2,The hilltop offers stunning photography spots.,181
2,There are a few local breweries with great reviews.,182
2,I recommend visiting the historic downtown area.,183
2,The central park is perfect for a picnic.,184
2,The main library is located downtown.,185
2,Try the vineyard for a great wine tasting experience.,186
2,There's a yoga class every morning at the community center.,187
2,Head to the overlook for the best scenic views.,188
2,"Yes, there's a flea market this Saturday.",189
2,There's a seafood restaurant by the pier.,190
2,The botanical garden is free to visit.,191
2,The river offers kayak rentals.,192
2,The south beach is very popular.,193
2,There's a safe path for night walks downtown.,194
2,The art supply store is in the shopping plaza.,195
2,Several guided tours start from the museum.,196
2,The farmers' market is open every Sunday.,197
2,"For local cuisine, try the city bistro.",198
2,There's a cozy bookstore cafe in the square.,199
2,Try the library garden for a quiet reading spot.,200
2,Visit the old fort for historical landmarks.,201
2,There's a craft market every weekend.,202
2,"Yes, a new play opens next week.",203
2,The sports bar downtown shows live games.,204
2,Visit the amusement park for family fun.,205
2,The spa on Main Street has great reviews.,206
2,There's a cooking school in town.,207
2,Rent bikes at the city park kiosk.,208
2,The bakery on Elm Street is highly recommended.,209
2,The community center offers various activities.,210
2,The antique market is in the old district.,211
2,There's a patio restaurant by the river.,212
2,Try the food trucks for street food.,213
2,The jazz club opens every Friday night.,214
2,There's a karaoke bar in the entertainment district.,215
2,Visit the organic market near the square.,216
2,The forest trail is popular for hikes.,217
2,The gym downtown is open 24 hours.,218
2,Try the children's museum for kids.,219
2,The rooftop bar offers great city views.,220
2,"For a romantic dinner, try the riverside caf___________¨___________¦.",221
2,There's a hot spring resort nearby.,222
2,The co-working space is in the tech center.,223
2,The observatory is best for stargazing.,224
2,The food market has amazing street food stalls.,225
2,A cultural festival is happening this month.,226
2,The cheese shop has a great selection.,227
