text,token,label
okay let's see i want to go to a thai restaurant .,okay let see want go thai restaurant .,4
"with less than ten dollars per person
     i like to eat at lunch time .",less ten dollar per person like eat lunch time .,2
"so that would be eleven a__m to one p__m
i don't want to walk for more than five minutes
tell me more about the  na- nakapan  restaurant on martin luther king
i like to go to a hamburger restaurant
let's start again
i like to get a hamburger at an american restaurant
i'd like to eat dinner .",would eleven one pm dont want walk five minute tell na nakapan restaurant martin luther king like go hamburger restaurant let start like get hamburger american restaurant id like eat dinner .,2
and i don't mind walking  .,dont mind walking .,1
"for half an hour
i don't want to spend more than  ten dollars for a hamburger
        tell me more about the two barbecue restaurants you listed
tell me about everett and jones barbecue flint's barbecue and the thai barbecue please
where's the best place to get soup in berkeley
where's the best place to get soup in berkeley for lunch for under ten dollars .",half hour dont want spend ten dollar hamburger tell two barbecue restaurant listed tell everett jones barbecue flint barbecue thai barbecue please wheres best place get soup berkeley wheres best place get soup berkeley lunch ten dollar .,4
"with a ten minute walk
what types of food do you understand
i want indian food and i have chuck's car so i can drive in but i only want to drive for ten minutes and i only want to pay five dollars
what about the indian cafe .",ten minute walk type food understand want indian food chuck car drive want drive ten minute want pay five dollar indian cafe .,2
"can you give me information about that
tell me about pasand's
 tell me about moe's burgers
a cheap restaurant near by that serves meat
like to eat pork or beef
bacon and eggs .",give information tell pasands tell moes burger cheap restaurant near serf meat like eat pork beef bacon egg .,2
"or breakfast
more information about addison annex
yeah i'd like to go out for some thai food  not too expensive
 how about six p__m
make it walking distance
tell me about the thai barbecue place
yeah i'm looking for a vegetarian place that's open on wednesday
 i'll s- i'll spend a lot of money this time
doesn't matter how far
tell me about the long life vegi house
i would like to eat american food or mexican food
i would like to  eat lunch today
i would like to have lunch
 i don't want to spend a lot of money  so something fairly cheap would be good
i wanna eat someplace that's close to i__c__s__i
i want to eat  italian
  i don't mind spending a lot of money but     i don't wanna go someplace cheap i guess middle range would be good
 i don't mind  having to drive someplace doesn't have to be close to i__c__s__i
i need to find a  place to eat  for next  saturday
i'd like to eat  italian food  or american food either one
 i want  a restaurant where i can get some lunch  tomorrow
i'd like to find something that's fairly cheap
 i'd like something that's  within walking distance of i__c__s__i
is there anything cheaper than that
i want to find a inexpensive place to eat dinner
i think i would like to eat some vegetarian food
i would also  in addition to vegetarian i would also like to try to see if i can find some mexican food
i want to find some place that's fairly close to i__c__s__i
can you give me some more information on manuel's
i want to find a really nice place to eat lunch next wednesday
i want to eat either french food california food or italian food
i have a car so the distance is not important
can you give me some more information on skates
can you show me  the list of restaurants again
i'd like to see some more information on augusta's
can i see the original list again
please tell me more about fourth street grill
a-la-carte .",breakfast information addison annex yeah id like go thai food expensive six pm make walking distance tell thai barbecue place yeah im looking vegetarian place thats open wednesday ill ill spend lot money time doesnt matter far tell long life vegi house would like eat american food mexican food would like eat lunch today would like lunch dont want spend lot money something fairly cheap would good wan na eat someplace thats close icsi want eat italian dont mind spending lot money dont wan na go someplace cheap guess middle range would good dont mind drive someplace doesnt close icsi need find place eat next saturday id like eat italian food american food either one want restaurant get lunch tomorrow id like find something thats fairly cheap id like something thats within walking distance icsi anything cheaper want find inexpensive place eat dinner think would like eat vegetarian food would also addition vegetarian would also like try see find mexican food want find place thats fairly close icsi give information manuels want find really nice place eat lunch next wednesday want eat either french food california food italian food car distance important give information skate show list restaurant id like see information augusta see original list please tell fourth street grill alacarte .,2
addison annex .,addison annex .,1
amaru .,amaru .,1
arinell pizza .,arinell pizza .,1
"augusta's
ay-caramba .",augusta aycaramba .,1
berkeley thai house .,berkeley thai house .,4
bette's ocean view .,bettes ocean view .,1
blondie's pizza .,blondies pizza .,1
"blue nile
bombay cuisine .",blue nile bombay cuisine .,1
brennan's .,brennans .,1
brick hut cafe .,brick hut cafe .,1
brit-marie's .,britmaries .,1
"cactus taqueria
cafe fanny .",cactus taqueria cafe fanny .,1
cafe mar-mara .,cafe marmara .,1
cafe pastoral .,cafe pastoral .,1
cafe vin .,cafe vin .,1
"cafe violeta
caffe giovanni .",cafe violeta caffe giovanni .,1
caffe venezia .,caffe venezia .,3
cambodiana's .,cambodianas .,1
casa-de-eva .,casadeeva .,1
"casbah
cha-am .",casbah chaam .,1
chez-panisse .,chezpanisse .,1
chez-panisse cafe .,chezpanisse cafe .,1
christopher's cafe .,christopher cafe .,1
"claremont seafood
coffee renaissance .",claremont seafood coffee renaissance .,1
continental garden .,continental garden .,1
daruma teashop .,daruma teashop .,1
elmwood pharmacy .,elmwood pharmacy .,1
"everett and jones barbecue
 fat slice pizza .",everett jones barbecue fat slice pizza .,1
fat apple's .,fat apple .,1
flint's barbecue .,flint barbecue .,1
fourth street grill .,fourth street grill .,1
"gertie's
gramma's inn .",gerties gramma inn .,1
guerrero's .,guerreros .,1
homemade cafe .,homemade cafe .,1
hong-fu .,hongfu .,0
"hong-kong villa
international house cafe .",hongkong villa international house cafe .,4
joshu-ya .,joshuya .,1
juan's place .,juans place .,1
juice bar collective .,juice bar collective .,1
"kip's
kirala .",kip kirala .,1
la mediterranee .,la mediterranee .,1
la-val's .,lavals .,1
lalime's .,lalimes .,1
"lococo's restaurant
lilly's .",lococos restaurant lillys .,2
long life vegi house maharani .,long life vegi house maharani .,4
manuel's .,manuels .,1
"mario's la fiesta
 meal ticket .",marios la fiesta meal ticket .,1
metropole .,metropole .,1
nadine's .,nadines .,1
omnivore .,omnivore .,1
"oriental food to go
panini .",oriental food go panini .,2
pasand madras cuisine .,pasand madras cuisine .,1
pepito's mexican deli .,pepitos mexican deli .,2
petrouchka .,petrouchka .,1
"picante taqueria
plearn thai cuisine .",picante taqueria plearn thai cuisine .,1
rich potsticker .,rich potsticker .,1
ristorante venezia .,ristorante venezia .,3
sandwiches a-go-go .,sandwich agogo .,1
"saul's deli
shin-shin .",saul deli shinshin .,1
siam cuisine .,siam cuisine .,1
skates .,skate .,1
soup kitchen heike .,soup kitchen heike .,1
"spenger's
stuffed inn .",spengers stuffed inn .,1
sujatha's .,sujathas .,1
sushi-sho .,sushisho .,1
taiwan restaurant .,taiwan restaurant .,2
"thai barbecue
 the milvia .",thai barbecue milvia .,4
the swallow .,swallow .,1
top dog .,top dog .,1
tsing-tao .,tsingtao .,1
"vasiliki
vegi food .",vasiliki vegi food .,2
vietnam village .,vietnam village .,1
viva taqueria .,viva taqueria .,1
"westside bakery
won thai cuisine .",westside bakery thai cuisine .,4
yorkshire fish and chips .,yorkshire fish chip .,1
"zachary's chicago
i'd like to eat some chinese food
i want to eat this afternoon
i want to spend no more than seven dollars
i want to travel no more than three blocks
i'd like to eat some italian food
i'd like to eat monday afternoon
i'd like to spend no more than fifty dollars
 i'd like to travel no more than twenty blocks
when is caffe venezia open during the day
i'd like to eat some mexican food today and i'd like to spend no more than .",zacharys chicago id like eat chinese food want eat afternoon want spend seven dollar want travel three block id like eat italian food id like eat monday afternoon id like spend fifty dollar id like travel twenty block caffe venezia open day id like eat mexican food today id like spend .,2
"forty dollars
 i'd like to eat mexican food today
i'd like to spend no more than one hundred dollars
 i'd like to go to a restaurant that is not fast food
  i'd like to
i'd like to travel no more than twenty minutes
 where is  cactus taqueria located.",forty dollar id like eat mexican food today id like spend one hundred dollar id like go restaurant fast food id like id like travel twenty minute cactus taqueria located .,2
