intent,answer,number
0,Hello! I'm great! How about you?,0
0,Hi! Nice to meet you too! ,1
0,Good morning! I'm here to assist.,2
0,"I'm doing well, thank you!",3
0,"I'm fine, thank you! How are you?",4
0,Hi! Let me know what you need.,5
0,Just here to help! What can I do for you?,6
0,Hi! I'm here to assist with anything you need.,7
0,Happy to help! What do you need assistance with?,8
0,Thanks! Wishing you a great day too!,9
0,Hi! It's been great! Thanks for asking.,10
0,Hi! It's been great!,11
0,Everything's good! How can I help?,12
0,Everything's good! How can I help?,13
0,It's been a while! Glad to connect again.,14
0,Hey! It's been a while! How have you been?,15
0,Absolutely! Just let me know what you need.,16
0,Good afternoon! How can I make your day better?,17
0,"Hello! Not much, just here to help you out.",18
0,Great to chat with you! What can I do?,19
0,"I've been doing well, thank you!",20
0,"It's been a busy day, but I'm ready to chat!",21
0,Hi! Not much.Just enjoying our conversation!,22
0,Good evening! I'm here to help.,23
0,"Hi! Interesting day, to be honest! How about you?",24
0,"Interesting day, to be honest! How about you?",25
0,Thank you for asking! Ready to talk.,26
0,"It's going great, thank you!",27
0,"It's going great, thank you!",28
0,I hope you're doing great as well!,29
0,"Hey! It's been a good week, thank you!",30
0,"Things are great, appreciate you asking!",31
0,Something exciting? Let's find out together!,32
0,I'm ready to help you in any way you need.,33
0,"Just catching up on things, how can I help?",34
0,"Hey! My day is going well, thank you!",35
0,"My day is going well, thank you!",36
0,I'm here to make your day better!,37
0,"Hi! Life's good, thank you for asking.",38
0,Weekend is off to a great start!,39
0,Good morning! Always happy to chat.,40
0,"My plan? Helping you, of course!",41
0,Hi! Always excited to talk. How about you?,42
0,"Hi! Sure, I've got time!",43
0,Hope I can make your day brighter!,44
0,It's great to hear from you again!,45
0,Just here for you!,46
0,I'm glad you're here!,47
0,"Hei! It's been a pleasant day, thank you!",48
0,Hello! I'm doing fine.,49
0,"Hi! I'm doing fine, thanks for asking.",50
0,Hello! Always happy to chat.,51
0,Hi! How can I help you today?,52
0,"Hi! Everything is good here, thank you!",53
0,"Hi! Everything is good here, thank you!",54
0,Hi! Happy to be here.,55
0,Hi! I'm feeling good today!,56
0,"Hi! Everything is good here, thank you!",57
0,"Good evening! All good, thanks for asking!",58
0,Hi! I'm here for you.,59
0,"Hi! Not bad, how's everything with you?",60
0,Hello! I'm feeling fine!,61
0,"Thank you, I'm fine.",62
0,"All's well, what's on your mind?",63
0,Hi! Good to hear from you!,64
0,Happy to chat!,65
0,"Great, as always.",66
0,"Hey! I'm doing fine, hope you are too.",67
0,Hi! Nice to meet you too! ,68
0,Hi! Nice to meet you too! ,69
0,Hi! Nice to meet you too! ,70
0,Hi! Nice to meet you too! ,71
0,Hi! Nice to meet you too! ,72
0,Hi! Nice to meet you too! ,73
0,Hi! Nice to meet you too! ,74
0,Hi! Nice to meet you too! ,75
0,Hi! Nice to meet you too! ,76
0,Hi! Nice to meet you too! ,77
0,"I'm fine, thank you! How are you?",78
0,"I'm fine, thank you! How are you?",79
0,"I'm fine, thank you! How are you?",80
0,"I'm fine, thank you! How are you?",81
0,"I'm fine, thank you! How are you?",82
