intent,answer,number
0,Hello!,0
0,Nice to meet you!,1
0,Good morning! What's on your mind?,2
0,How are you doing?,3
0,How are you,4
0,Hey!,5
0,Greetings! How can I assist you today?,6
0,Hi! What's up?,7
0,How can I be of service?,8
0,Hope you're having a good day!,9
0,Hey there! How can I support you today?,10
0,Hi there! How's your day going?,11
0,Good to see you! What brings you here today?,12
0,How's everything with you?,13
0,Hope you're doing well.,14
0,Hey! Long time no see!,15
0,What can I help you with today?,16
0,Good afternoon! How can I assist?,17
0,Hello! Anything I can do for you?,18
0,What's happening?,19
0,Greetings! What's new?,20
0,How have you been?,21
0,Hello! What's your day like?,22
0,Good evening! How can I be of service?,23
0,Hey! What's going on?,24
0,Anything interesting happening?,25
0,How can I help you today?,26
0,Greetings! What's on your mind?,27
0,How's it going?,28
0,Hope you're having a good time.,29
0,Hey! How's your week so far?,30
0,What would you like to talk about?,31
0,Anything exciting to share?,32
0,How are things with you?,33
0,Good day! How can I assist you?,34
0,Hey! What's new and exciting?,35
0,How's your morning/afternoon/evening?,36
0,Greetings! What can I do for you today?,37
0,Hey! What's happening in your world?,38
0,How's your weekend going?,39
0,Good morning! Ready to chat?,40
0,What's your plan for today?,41
0,Hi there! What's the latest?,42
0,Hey! Do you have a minute to chat?,43
0,How can I brighten your day?,44
0,Anything on your mind?,45
0,Greetings! Hope you're doing well.,46
0,Hi! Long time no talk!,47
0,Hey! What brings you here?,48
0,Hello! How are you?,49
0,Hi! How's it going?,50
0,Good morning! How are you today?,51
0,Hey! What's up?,52
0,Hi there! What's new?,53
0,Hello! Hope you're well.,54
0,Hey! How have you been?,55
0,Hi! How's your day?,56
0,Hello! How's everything going?,57
0,Good evening! How are you doing?,58
0,Hi! What's going on?,59
0,Hey! How's life?,60
0,Hello! How's it been?,61
0,How are things?,62
0,Good day! How are you feeling?,63
0,Hey! How's today treating you?,64
0,How have you been lately?,65
0,What's on your mind today?,66
0,Hey! How do you do?,67
0,Nice to meet you!,68
0,Nice to meet you!,69
0,Nice to meet you!,70
0,Nice to meet you!,71
0,Nice to meet you!,72
0,Nice to meet you!,73
0,Nice to meet you!,74
0,Nice to meet you!,75
0,Nice to meet you!,76
0,Nice to meet you!,77
0,How are you,78
0,How are you,79
0,How are you,80
0,How are you,81
0,How are you,82
