intent,question,number
0,Hello!,0
0,Nice to meet you!,1
0,Good morning! What's on your mind?,2
0,How are you doing?,3
0,How are you,4
0,Hey!,5
0,Greetings! How can I assist you today?,6
0,Hi! What's up?,7
0,How can I be of service?,8
0,Hope you're having a good day!,9
0,Hey there! How can I support you today?,10
0,Hi there! How's your day going?,11
0,Good to see you! What brings you here today?,12
0,How's everything with you?,13
0,Hope you're doing well.,14
0,Hey! Long time no see!,15
0,What can I help you with today?,16
0,Good afternoon! How can I assist?,17
0,Hello! Anything I can do for you?,18
0,What's happening?,19
0,Greetings! What's new?,20
0,How have you been?,21
0,Hello! What's your day like?,22
0,Good evening! How can I be of service?,23
0,Hey! What's going on?,24
0,Anything interesting happening?,25
0,How can I help you today?,26
0,Greetings! What's on your mind?,27
0,How's it going?,28
0,Hope you're having a good time.,29
0,Hey! How's your week so far?,30
0,What would you like to talk about?,31
0,Anything exciting to share?,32
0,How are things with you?,33
0,Good day! How can I assist you?,34
0,Hey! What's new and exciting?,35
0,How's your morning/afternoon/evening?,36
0,Greetings! What can I do for you today?,37
0,Hey! What's happening in your world?,38
0,How's your weekend going?,39
0,Good morning! Ready to chat?,40
0,What's your plan for today?,41
0,Hi there! What's the latest?,42
0,Hey! Do you have a minute to chat?,43
0,How can I brighten your day?,44
0,Anything on your mind?,45
0,Greetings! Hope you're doing well.,46
0,Hi! Long time no talk!,47
0,Hey! What brings you here?,48
0,Hello! How are you?,49
0,Hi! How's it going?,50
0,Good morning! How are you today?,51
0,Hey! What's up?,52
0,Hi there! What's new?,53
0,Hello! Hope you're well.,54
0,Hey! How have you been?,55
0,Hi! How's your day?,56
0,Hello! How's everything going?,57
0,Good evening! How are you doing?,58
0,Hi! What's going on?,59
0,Hey! How's life?,60
0,Hello! How's it been?,61
0,How are things?,62
0,Good day! How are you feeling?,63
0,Hey! How's today treating you?,64
0,How have you been lately?,65
0,What's on your mind today?,66
0,Hey! How do you do?,67
0,Nice to meet you!,68
0,Nice to meet you!,69
0,Nice to meet you!,70
0,Nice to meet you!,71
0,Nice to meet you!,72
0,Nice to meet you!,73
0,Nice to meet you!,74
0,Nice to meet you!,75
0,Nice to meet you!,76
0,Nice to meet you!,77
0,How are you,78
0,How are you,79
0,How are you,80
0,How are you,81
0,How are you,82
1,How do I reset my password?,83
1,Can I change my account email address?,84
1,What steps do I take to recover my username?,85
1,How can I update my security questions?,86
1,How do I enable two-factor authentication?,87
1,Can I link my account with social media?,88
1,How do I update my profile information?,89
1,What should I do if my account is locked?,90
1,How can I delete my account permanently?,91
1,Is it possible to change my username?,92
1,How do I change my password?,93
1,What should I do if I forget my security question answers?,94
1,Can I update my phone number linked to the account?,95
1,How do I enable login alerts?,96
1,How do I recover a deleted account?,97
1,Is it possible to disable two-factor authentication?,98
1,How can I verify my email address?,99
1,Where can I check my recent login activity?,100
1,How do I secure my account from unauthorized access?,101
1,Can I add a backup email for recovery?,102
1,What options do I have for account recovery?,103
1,How do I restrict access to my profile?,104
1,Can I temporarily deactivate my account?,105
1,What steps should I take to change my security settings?,106
1,Is there a way to unlink my account from third-party services?,107
1,How can I add an alternative phone number for verification?,108
1,Can I remove saved login details from my account?,109
1,How do I check if my account has been compromised?,110
1,How do I change my profile picture?,111
1,Is there a way to lock my account manually?,112
1,How can I deactivate account recovery options?,113
1,Can I customize my account's privacy settings?,114
1,How do I set up a new security PIN?,115
1,What should I do if I suspect my account was hacked?,116
1,How do I manage connected devices?,117
1,Can I receive alerts for login attempts from unknown locations?,118
1,Where can I manage linked accounts?,119
1,How do I add a recovery question to my account?,120
1,Is it possible to view my account's access history?,121
1,How can I prevent unauthorized logins?,122
1,How do I enable automatic account lockout?,123
1,Can I set specific login hours for my account?,124
1,How can I verify my phone number?,125
1,Where can I see the devices logged into my account?,126
1,How do I enable or disable login notifications?,127
1,Can I limit access to specific devices?,128
1,How do I set up a security phrase for verification?,129
1,Can I restrict access based on geographic location?,130
1,How can I delete my backup recovery methods?,131
1,Is there a way to check login attempts?,132
1,How do I verify my account through a phone call?,133
1,Can I change my recovery email?,134
1,How do I restrict logins to specific IP addresses?,135
1,What happens if I enter the wrong password too many times?,136
1,How can I make my profile private?,137
1,How do I create a strong password?,138
1,Is there a way to enable biometric login?,139
1,How can I link another email to my account?,140
1,Can I receive notifications for changes made to my account?,141
1,How do I review past login sessions?,142
1,Is it possible to delete my profile information?,143
1,How can I change my email?,144
1,How do I update my phone number?,145
1,Can I reset my password?,146
1,How do I delete my account?,147
1,What should I do if I forget my username?,148
1,How do I link my social media account?,149
1,Can I update my security settings?,150
1,How do I check my login history?,151
1,How can I change my username?,152
1,How do I recover my account?,153
1,Where can I find my account settings?,154
1,How do I enable two-factor authentication?,155
1,Can I remove a linked device?,156
1,How do I change my profile picture?,157
1,How can I add a recovery email?,158
1,How do I make my profile private?,159
1,What should I do if my account is locked?,160
1,Can I receive alerts for account changes?,161
1,How do I verify my phone number?,162
1,How can I update my security questions?,163
2,Can you recommend some popular attractions nearby?,164
2,Where can I find a good restaurant?,165
2,What are some must-see places in the area?,166
2,Are there any parks close to me?,167
2,Where can I go shopping?,168
2,Can you suggest a nearby coffee shop?,169
2,What events are happening this weekend?,170
2,Are there any local museums worth visiting?,171
2,Can you find me a nearby bookstore?,172
2,Where's a good spot for hiking?,173
2,Are there any concerts happening tonight?,174
2,Where can I find fresh produce markets?,175
2,Can you recommend a quiet place to relax?,176
2,Where are the best places for sightseeing?,177
2,Are there any art galleries nearby?,178
2,Can you find me a gym or fitness center?,179
2,Where can I see live music?,180
2,What's a popular place to watch the sunset?,181
2,Are there any nearby theaters?,182
2,Can you suggest a good walking trail?,183
2,What are some good places for a weekend trip?,184
2,Can you find me a pet-friendly park?,185
2,Where's the best spot for photography?,186
2,Are there any local breweries nearby?,187
2,Can you recommend a popular tourist area?,188
2,Where can I go for a picnic?,189
2,What's the nearest library?,190
2,Are there any good wine tasting spots?,191
2,Can you find a nearby yoga class?,192
2,Where are the best scenic views in the city?,193
2,Is there a flea market happening soon?,194
2,Can you find me a good seafood restaurant?,195
2,Are there any free attractions nearby?,196
2,Where can I go kayaking?,197
2,What are the best beaches around?,198
2,Can you suggest a place for night walks?,199
2,Where is the nearest art supply store?,200
2,Are there any guided tours available?,201
2,Where can I find a farmers' market?,202
2,What's the best local cuisine spot?,203
2,Can you recommend a bookstore cafe?,204
2,Where's a quiet place to read?,205
2,Are there any historical landmarks to visit?,206
2,Where can I find unique local crafts?,207
2,Are there any upcoming theater performances?,208
2,Where's a good spot to watch sports games?,209
2,What are some family-friendly activities?,210
2,Can you suggest a good spa nearby?,211
2,Are there any cooking classes around?,212
2,Where can I rent bikes?,213
2,What are the top-rated bakeries here?,214
2,Is there a nearby community center?,215
2,Where's the best area for antique shopping?,216
2,Can you recommend an outdoor dining spot?,217
