intent,answer,number,cleaned text
0,Hello! I'm great! How about you?,0,hello im great
0,Hi! Nice to meet you too! ,1,hi nice to meet
0,Good morning! I'm here to assist.,2,good morning im to assist .
0,"I'm doing well, thank you!",3,im well thank
0,"I'm fine, thank you! How are you?",4,im fine thank you how are you
0,Hi! Let me know what you need.,5,hi let know need .
0,Just here to help! What can I do for you?,6,to help
0,Hi! I'm here to assist with anything you need.,7,hi im to assist anything need .
0,Happy to help! What do you need assistance with?,8,happy to help need assistance
0,Thanks! Wishing you a great day too!,9,thanks wishing great day
0,Hi! It's been great! Thanks for asking.,10,hi great thanks asking .
0,Hi! It's been great!,11,hi great
0,Everything's good! How can I help?,12,everythings good help
0,Everything's good! How can I help?,13,everythings good help
0,It's been a while! Glad to connect again.,14,glad to connect .
0,Hey! It's been a while! How have you been?,15,hey
0,Absolutely! Just let me know what you need.,16,absolutely let know need .
0,Good afternoon! How can I make your day better?,17,good afternoon make day better
0,"Hello! Not much, just here to help you out.",18,hello much to help .
0,Great to chat with you! What can I do?,19,great to chat
0,"I've been doing well, thank you!",20,ive well thank
0,"It's been a busy day, but I'm ready to chat!",21,busy day im ready to chat
0,Hi! Not much.Just enjoying our conversation!,22,hi much.just enjoying conversation
0,Good evening! I'm here to help.,23,good evening im to help .
0,"Hi! Interesting day, to be honest! How about you?",24,hi interesting day to honest
0,"Interesting day, to be honest! How about you?",25,interesting day to honest
0,Thank you for asking! Ready to talk.,26,thank asking ready to talk .
0,"It's going great, thank you!",27,going great thank
0,"It's going great, thank you!",28,going great thank
0,I hope you're doing great as well!,29,hope youre great well
0,"Hey! It's been a good week, thank you!",30,hey good week thank
0,"Things are great, appreciate you asking!",31,thing great appreciate asking
0,Something exciting? Let's find out together!,32,something exciting let find together
0,I'm ready to help you in any way you need.,33,im ready to help way need .
0,"Just catching up on things, how can I help?",34,catching thing help
0,"Hey! My day is going well, thank you!",35,hey day going well thank
0,"My day is going well, thank you!",36,day going well thank
0,I'm here to make your day better!,37,im to make day better
0,"Hi! Life's good, thank you for asking.",38,hi life good thank asking .
0,Weekend is off to a great start!,39,weekend to great start
0,Good morning! Always happy to chat.,40,good morning always happy to chat .
0,"My plan? Helping you, of course!",41,plan helping course
0,Hi! Always excited to talk. How about you?,42,hi always excited to talk .
0,"Hi! Sure, I've got time!",43,hi sure ive got time
0,Hope I can make your day brighter!,44,hope make day brighter
0,It's great to hear from you again!,45,great to hear
0,Just here for you!,46,
0,I'm glad you're here!,47,im glad youre
0,"Hei! It's been a pleasant day, thank you!",48,hei pleasant day thank
0,Hello! I'm doing fine.,49,hello im fine .
0,"Hi! I'm doing fine, thanks for asking.",50,hi im fine thanks asking .
0,Hello! Always happy to chat.,51,hello always happy to chat .
0,Hi! How can I help you today?,52,hi help today
0,"Hi! Everything is good here, thank you!",53,hi everything good thank
0,"Hi! Everything is good here, thank you!",54,hi everything good thank
0,Hi! Happy to be here.,55,hi happy to .
0,Hi! I'm feeling good today!,56,hi im feeling good today
0,"Hi! Everything is good here, thank you!",57,hi everything good thank
0,"Good evening! All good, thanks for asking!",58,good evening good thanks asking
0,Hi! I'm here for you.,59,hi im .
0,"Hi! Not bad, how's everything with you?",60,hi bad hows everything
0,Hello! I'm feeling fine!,61,hello im feeling fine
0,"Thank you, I'm fine.",62,thank im fine .
0,"All's well, what's on your mind?",63,alls well whats mind
0,Hi! Good to hear from you!,64,hi good to hear
0,Happy to chat!,65,happy to chat
0,"Great, as always.",66,great always .
0,"Hey! I'm doing fine, hope you are too.",67,hey im fine hope .
0,Hi! Nice to meet you too! ,68,hi nice to meet
0,Hi! Nice to meet you too! ,69,hi nice to meet
0,Hi! Nice to meet you too! ,70,hi nice to meet
0,Hi! Nice to meet you too! ,71,hi nice to meet
0,Hi! Nice to meet you too! ,72,hi nice to meet
0,Hi! Nice to meet you too! ,73,hi nice to meet
0,Hi! Nice to meet you too! ,74,hi nice to meet
0,Hi! Nice to meet you too! ,75,hi nice to meet
0,Hi! Nice to meet you too! ,76,hi nice to meet
0,Hi! Nice to meet you too! ,77,hi nice to meet
0,"I'm fine, thank you! How are you?",78,im fine thank you how are you
0,"I'm fine, thank you! How are you?",79,im fine thank you how are you
0,"I'm fine, thank you! How are you?",80,im fine thank you how are you
0,"I'm fine, thank you! How are you?",81,im fine thank you how are you
0,"I'm fine, thank you! How are you?",82,im fine thank you how are you
1,"To reset your password, go to the settings page and click on Change Password.",83,to reset password go to setting page click change password .
1,"Yes, you can change your account email under account settings.",84,yes change account email account setting .
1,Please visit the recovery section to retrieve your username.,85,please visit recovery section to retrieve username .
1,You can update security questions in your security settings.,86,update security question security setting .
1,"To enable two-factor authentication, visit the security options page.",87,to enable twofactor authentication visit security option page .
1,"Yes, you can link your account by navigating to the social media settings.",88,yes link account navigating to social medium setting .
1,Profile information can be updated in your account details section.,89,profile information updated account detail section .
1,"If your account is locked, please follow the recovery steps or contact support.",90,account locked please follow recovery step contact support .
1,"To delete your account permanently, please confirm in the account settings.",91,to delete account permanently please confirm account setting .
1,"Yes, changing your username is possible through the user settings menu.",92,yes changing username possible user setting menu .
1,"To change your password, visit the security settings and select Change Password.",93,to change password visit security setting select change password .
1,"If you forget your security question answers, please contact support for assistance.",94,forget security question answer please contact support assistance .
1,"Yes, you can update your phone number in the account settings under personal information.",95,yes update phone number account setting personal information .
1,Go to security settings and enable login alerts for added protection.,96,go to security setting enable login alert added protection .
