QuestionID,Question,Answer,Document,intent,cleaned question,cleaned answer
Q1,HOW AFRICAN AMERICANS WERE IMMIGRATED TO THE US,"As such, African immigrants are to be distinguished from African American people, the latter of whom are descendants of mostly West and Central Africans who were involuntarily brought to the United States by means of the historic Atlantic slave trade .",African immigration to the United States,8,african american immigrated u,african immigrant distinguished african american people latter descendant mostly west central african involuntarily brought united state mean historic atlantic slave trade .
Q2,how are glacier caves formed?,A glacier cave is a cave formed within the ice of a glacier .,Glacier cave,8,glacier cave formed,glacier cave cave formed within ice glacier .
Q3,how a water pump works,"Pumps operate by some mechanism (typically reciprocating or rotary ), and consume energy to perform mechanical work by moving the fluid.",Pump,0,water pump work,pump operate mechanism typically reciprocating rotary consume energy perform mechanical work moving fluid .
Q4,"how big is bmc software in houston, tx","Employing over 6,000, BMC is often credited with pioneering the BSM concept as a way to help better align IT operations with business needs.",BMC Software,0,big bmc software houston tx,employing 6000 bmc often credited pioneering bsm concept way help better align operation business need .
Q5,"how big is bmc software in houston, tx","For 2011, the company recorded an annual revenue of $2.1 billion, making it the #20 largest software company in terms of revenue for that year.",BMC Software,0,big bmc software houston tx,2011 company recorded annual revenue 2.1 billion making 20 largest software company term revenue year .
Q6,how much is 1 tablespoon of water,This tablespoon has a capacity of about 15 mL.,Tablespoon,0,much 1 tablespoon water,tablespoon capacity 15 ml .
Q7,how much is 1 tablespoon of water,In the USA one tablespoon (measurement unit) is approximately 15 mL; the capacity of an actual tablespoon (dining utensil) ranges from 7 mL to 14 mL.,Tablespoon,0,much 1 tablespoon water,usa one tablespoon measurement unit approximately 15 ml capacity actual tablespoon dining utensil range 7 ml 14 ml .
Q8,how much is 1 tablespoon of water,In Australia one tablespoon (measurement unit) is 20 mL.,Tablespoon,0,much 1 tablespoon water,australia one tablespoon measurement unit 20 ml .
Q9,how much are the harry potter movies worth,"The series also originated much tie-in merchandise, making the Harry Potter brand worth in excess of $15 billion.",Harry Potter,0,much harry potter movie worth,series also originated much tiein merchandise making harry potter brand worth excess 15 billion .
Q10,how a rocket engine works,"A rocket engine, or simply ""rocket"", is a jet engine that uses only stored propellant mass for forming its high speed propulsive jet .",Rocket engine,0,rocket engine work,rocket engine simply rocket jet engine us stored propellant mass forming high speed propulsive jet .
Q11,how old was sue lyon when she made lolita,"The actress who played Lolita, Sue Lyon , was fourteen at the time of filming.",Lolita (1962 film),0,old sue lyon made lolita,actress played lolita sue lyon fourteen time filming .
