intent,question,number,cleaned text
0,Hello!,0,hello
0,Nice to meet you!,1,nice to meet
0,Good morning! What's on your mind?,2,good morning whats mind
0,How are you doing?,3,how are you doing
0,How are you,4,how are you
0,Hey!,5,hey
0,Greetings! How can I assist you today?,6,greeting assist today
0,Hi! What's up?,7,hi whats up
0,How can I be of service?,8,service
0,Hope you're having a good day!,9,hope youre good day
0,Hey there! How can I support you today?,10,hey support today
0,Hi there! How's your day going?,11,hi hows day going
0,Good to see you! What brings you here today?,12,good to see brings today
0,How's everything with you?,13,hows everything
0,Hope you're doing well.,14,hope youre well .
0,Hey! Long time no see!,15,hey long time no see
0,What can I help you with today?,16,help today
0,Good afternoon! How can I assist?,17,good afternoon assist
0,Hello! Anything I can do for you?,18,hello anything
0,What's happening?,19,whats happening
0,Greetings! What's new?,20,greeting whats new
0,How have you been?,21,
0,Hello! What's your day like?,22,hello whats day like
0,Good evening! How can I be of service?,23,good evening service
0,Hey! What's going on?,24,hey whats going
0,Anything interesting happening?,25,anything interesting happening
0,How can I help you today?,26,help today
0,Greetings! What's on your mind?,27,greeting whats mind
0,How's it going?,28,hows going
0,Hope you're having a good time.,29,hope youre good time .
0,Hey! How's your week so far?,30,hey hows week far
0,What would you like to talk about?,31,would like to talk
0,Anything exciting to share?,32,anything exciting to share
0,How are things with you?,33,thing
0,Good day! How can I assist you?,34,good day assist
0,Hey! What's new and exciting?,35,hey whats new exciting
0,How's your morning/afternoon/evening?,36,hows morningafternoonevening
0,Greetings! What can I do for you today?,37,greeting what can i do for you today
0,Hey! What's happening in your world?,38,hey whats happening world
0,How's your weekend going?,39,hows weekend going
0,Good morning! Ready to chat?,40,good morning ready to chat
0,What's your plan for today?,41,whats plan today
0,Hi there! What's the latest?,42,hi whats latest
0,Hey! Do you have a minute to chat?,43,hey minute to chat
0,How can I brighten your day?,44,brighten day
0,Anything on your mind?,45,anything mind
0,Greetings! Hope you're doing well.,46,greeting hope youre well .
0,Hi! Long time no talk!,47,hi long time no talk
0,Hey! What brings you here?,48,hey brings
0,Hello! How are you?,49,hello how are you
0,Hi! How's it going?,50,hi hows going
0,Good morning! How are you today?,51,good morning how are you today
0,Hey! What's up?,52,hey whats up
0,Hi there! What's new?,53,hi whats new
0,Hello! Hope you're well.,54,hello hope youre well .
0,Hey! How have you been?,55,hey
0,Hi! How's your day?,56,hi hows day
0,Hello! How's everything going?,57,hello hows everything going
0,Good evening! How are you doing?,58,good evening how are you doing
0,Hi! What's going on?,59,hi whats going
0,Hey! How's life?,60,hey hows life
0,Hello! How's it been?,61,hello hows
0,How are things?,62,thing
0,Good day! How are you feeling?,63,good day how are you feeling
0,Hey! How's today treating you?,64,hey hows today treating
0,How have you been lately?,65,lately
0,What's on your mind today?,66,whats mind today
0,Hey! How do you do?,67,hey
0,Nice to meet you!,68,nice to meet
0,Nice to meet you!,69,nice to meet
0,Nice to meet you!,70,nice to meet
0,Nice to meet you!,71,nice to meet
0,Nice to meet you!,72,nice to meet
0,Nice to meet you!,73,nice to meet
0,Nice to meet you!,74,nice to meet
0,Nice to meet you!,75,nice to meet
0,Nice to meet you!,76,nice to meet
0,Nice to meet you!,77,nice to meet
0,How are you,78,how are you
0,How are you,79,how are you
0,How are you,80,how are you
0,How are you,81,how are you
0,How are you,82,how are you
1,How do I reset my password?,83,reset password
1,Can I change my account email address?,84,change account email address
1,What steps do I take to recover my username?,85,step take to recover username
1,How can I update my security questions?,86,update security question
1,How do I enable two-factor authentication?,87,enable twofactor authentication
1,Can I link my account with social media?,88,link account social medium
1,How do I update my profile information?,89,update profile information
1,What should I do if my account is locked?,90,account locked
1,How can I delete my account permanently?,91,delete account permanently
1,Is it possible to change my username?,92,possible to change username
1,How do I change my password?,93,change password
1,What should I do if I forget my security question answers?,94,forget security question answer
1,Can I update my phone number linked to the account?,95,update phone number linked to account
1,How do I enable login alerts?,96,enable login alert
1,How do I recover a deleted account?,97,recover deleted account
1,Is it possible to disable two-factor authentication?,98,possible to disable twofactor authentication
1,How can I verify my email address?,99,verify email address
1,Where can I check my recent login activity?,100,check recent login activity
1,How do I secure my account from unauthorized access?,101,secure account unauthorized access
1,Can I add a backup email for recovery?,102,add backup email recovery
1,What options do I have for account recovery?,103,option account recovery
1,How do I restrict access to my profile?,104,restrict access to profile
1,Can I temporarily deactivate my account?,105,temporarily deactivate account
1,What steps should I take to change my security settings?,106,step take to change security setting
1,Is there a way to unlink my account from third-party services?,107,way to unlink account thirdparty service
1,How can I add an alternative phone number for verification?,108,add alternative phone number verification
1,Can I remove saved login details from my account?,109,remove saved login detail account
1,How do I check if my account has been compromised?,110,check account ha compromised
1,How do I change my profile picture?,111,change profile picture
1,Is there a way to lock my account manually?,112,way to lock account manually
1,How can I deactivate account recovery options?,113,deactivate account recovery option
1,Can I customize my account's privacy settings?,114,customize account privacy setting
1,How do I set up a new security PIN?,115,set new security pin
1,What should I do if I suspect my account was hacked?,116,suspect account wa hacked
1,How do I manage connected devices?,117,manage connected device
1,Can I receive alerts for login attempts from unknown locations?,118,receive alert login attempt unknown location
1,Where can I manage linked accounts?,119,manage linked account
1,How do I add a recovery question to my account?,120,add recovery question to account
1,Is it possible to view my account's access history?,121,possible to view account access history
1,How can I prevent unauthorized logins?,122,prevent unauthorized logins
1,How do I enable automatic account lockout?,123,enable automatic account lockout
1,Can I set specific login hours for my account?,124,set specific login hour account
1,How can I verify my phone number?,125,verify phone number
1,Where can I see the devices logged into my account?,126,see device logged account
1,How do I enable or disable login notifications?,127,enable disable login notification
1,Can I limit access to specific devices?,128,limit access to specific device
1,How do I set up a security phrase for verification?,129,set security phrase verification
1,Can I restrict access based on geographic location?,130,restrict access based geographic location
1,How can I delete my backup recovery methods?,131,delete backup recovery method
1,Is there a way to check login attempts?,132,way to check login attempt
1,How do I verify my account through a phone call?,133,verify account phone call
1,Can I change my recovery email?,134,change recovery email
1,How do I restrict logins to specific IP addresses?,135,restrict logins to specific ip address
1,What happens if I enter the wrong password too many times?,136,happens enter wrong password many time
1,How can I make my profile private?,137,make profile private
1,How do I create a strong password?,138,create strong password
1,Is there a way to enable biometric login?,139,way to enable biometric login
1,How can I link another email to my account?,140,link another email to account
1,Can I receive notifications for changes made to my account?,141,receive notification change made to account
1,How do I review past login sessions?,142,review past login session
1,Is it possible to delete my profile information?,143,possible to delete profile information
1,How can I change my email?,144,change email
1,How do I update my phone number?,145,update phone number
1,Can I reset my password?,146,reset password
1,How do I delete my account?,147,delete account
1,What should I do if I forget my username?,148,forget username
1,How do I link my social media account?,149,link social medium account
1,Can I update my security settings?,150,update security setting
1,How do I check my login history?,151,check login history
1,How can I change my username?,152,change username
1,How do I recover my account?,153,recover account
1,Where can I find my account settings?,154,find account setting
1,How do I enable two-factor authentication?,155,enable twofactor authentication
1,Can I remove a linked device?,156,remove linked device
1,How do I change my profile picture?,157,change profile picture
1,How can I add a recovery email?,158,add recovery email
1,How do I make my profile private?,159,make profile private
1,What should I do if my account is locked?,160,account locked
1,Can I receive alerts for account changes?,161,receive alert account change
1,How do I verify my phone number?,162,verify phone number
1,How can I update my security questions?,163,update security question
2,Can you recommend some popular attractions nearby?,164,recommend popular attraction nearby
2,Where can I find a good restaurant?,165,find good restaurant
2,What are some must-see places in the area?,166,mustsee place area
2,Are there any parks close to me?,167,park close to
2,Where can I go shopping?,168,go shopping
2,Can you suggest a nearby coffee shop?,169,suggest nearby coffee shop
2,What events are happening this weekend?,170,event happening weekend
2,Are there any local museums worth visiting?,171,local museum worth visiting
2,Can you find me a nearby bookstore?,172,find nearby bookstore
2,Where's a good spot for hiking?,173,wheres good spot hiking
2,Are there any concerts happening tonight?,174,concert happening tonight
2,Where can I find fresh produce markets?,175,find fresh produce market
2,Can you recommend a quiet place to relax?,176,recommend quiet place to relax
2,Where are the best places for sightseeing?,177,best place sightseeing
2,Are there any art galleries nearby?,178,art gallery nearby
2,Can you find me a gym or fitness center?,179,find gym fitness center
2,Where can I see live music?,180,see live music
2,What's a popular place to watch the sunset?,181,whats popular place to watch sunset
2,Are there any nearby theaters?,182,nearby theater
2,Can you suggest a good walking trail?,183,suggest good walking trail
2,What are some good places for a weekend trip?,184,good place weekend trip
2,Can you find me a pet-friendly park?,185,find petfriendly park
2,Where's the best spot for photography?,186,wheres best spot photography
2,Are there any local breweries nearby?,187,local brewery nearby
2,Can you recommend a popular tourist area?,188,recommend popular tourist area
2,Where can I go for a picnic?,189,go picnic
2,What's the nearest library?,190,whats nearest library
2,Are there any good wine tasting spots?,191,good wine tasting spot
2,Can you find a nearby yoga class?,192,find nearby yoga class
2,Where are the best scenic views in the city?,193,best scenic view city
2,Is there a flea market happening soon?,194,flea market happening soon
2,Can you find me a good seafood restaurant?,195,find good seafood restaurant
2,Are there any free attractions nearby?,196,free attraction nearby
2,Where can I go kayaking?,197,go kayaking
2,What are the best beaches around?,198,best beach around
2,Can you suggest a place for night walks?,199,suggest place night walk
2,Where is the nearest art supply store?,200,nearest art supply store
2,Are there any guided tours available?,201,guided tour available
2,Where can I find a farmers' market?,202,find farmer market
2,What's the best local cuisine spot?,203,whats best local cuisine spot
2,Can you recommend a bookstore cafe?,204,recommend bookstore cafe
2,Where's a quiet place to read?,205,wheres quiet place to read
